"id","levelId","levelName","paperName","question","optionA","optionB","optionC","optionD","answer","answerIndex","explanation","enabled"
"lesson8-第八課-陋室銘-11","lesson8","第八課 陋室銘","第八課 陋室銘","下列「 」中的字，何者音義的說明完全正確？","「斯」是陋室：音ㄙ，這、此","談笑有「鴻」儒：音ㄏㄨㄥˊ，知名度很高","可以「調」素琴：音ㄉㄧㄠˋ，彈奏、撫弄","案「牘」：音ㄉㄨˊ，書桌","A","0","(B)大(C)音ㄊㄧㄠˊ(D)書寫文字的木片","TRUE"
"lesson8-第八課-陋室銘-12","lesson8","第八課 陋室銘","第八課 陋室銘","岳飛常為公務煩心，請問下列哪一個詞語不適合形容他為公務所操勞？","案牘勞形","絲竹亂耳","日理萬機","塵務經心","B","1","(C)形容工作非常繁重(D)俗事纏繞於心","TRUE"
"lesson8-第八課-陋室銘-13","lesson8","第八課 陋室銘","第八課 陋室銘","下列各句「 」中的字，何者詞性前後相同？","無絲竹之「亂」耳，無案牘之勞「形」","斯是「陋」室，惟「吾」德馨","水不在「深」，有龍則「靈」","南陽 諸葛「廬」，西蜀 子雲「亭」","D","3","(A)動詞／名詞(B)形容詞／代詞(C)形容詞／動詞(D)名詞","TRUE"
"lesson8-第八課-陋室銘-14","lesson8","第八課 陋室銘","第八課 陋室銘","下列文句，何者用字完全正確？","農夫在田裡忙插秧，汗流夾背也無法休息","這道數學題實在太難，小老師也一籌莫展","本學期的模範生選舉，正如火如茶地展開","他對什麼事都寞不關心，簡直是麻木不仁","B","1","(A)汗流「夾」背→浹(C)如火如「茶」→荼(D)「寞」不關心→漠","TRUE"
"lesson8-第八課-陋室銘-15","lesson8","第八課 陋室銘","第八課 陋室銘","由「南陽 諸葛廬，西蜀 子雲亭」二句，可推知作者的何種心意？","曲高和寡，孤芳自賞","見賢思齊，待機而出","熱衷名利，不甘黯淡","離群索居，與世隔絕","B","1","題幹暗示自己和孔明、揚雄一樣靜待時機，以期一展抱負，名留青史，故選(B)","TRUE"
"lesson8-第八課-陋室銘-16","lesson8","第八課 陋室銘","第八課 陋室銘","「可以調素琴，閱金經。無絲竹之亂耳，無案牘之勞形。」這段文字主要說明了下列何種情景？","陋室不受親朋好友的打擾","陋室的藏書十分豐富","陋室主人能力足以獨當一面","陋室主人的悠閒自在","D","3","(A)是指不受到俗世應酬的干擾(B)未提及(C)此句未提及與能力相關的內容","TRUE"
"lesson8-第八課-陋室銘-17","lesson8","第八課 陋室銘","第八課 陋室銘","「何陋之有」是倒裝句，下列何者也使用了這種句型？","常射於家圃","舌一吐而二蟲盡為所吞","甚矣，汝之不惠","三人行，必有我師焉","C","2","(C)還原：汝之不惠甚矣","TRUE"
"lesson8-第八課-陋室銘-18","lesson8","第八課 陋室銘","第八課 陋室銘","下列句型的說明，何者不正確？","苔痕上階綠：表態句","草色入簾青：敘事句","往來無白丁：有無句","閱金經：敘事句","A","0","(A)敘事句","TRUE"
"lesson8-第八課-陋室銘-19","lesson8","第八課 陋室銘","第八課 陋室銘","讀完陋室銘，芝芝夢到自己在劉禹錫的書房參觀，她在汗牛充棟的書房中發現一本不可能出現的書，請問這本書應為下列何者？","許慎的說文解字","劉義慶的世說新語","蕭統的昭明文選","歐陽脩的歐陽文忠公全集","D","3","劉禹錫生於唐代，不可能讀過宋代 歐陽脩的著作，故選(D)。(A)東漢(B)魏晉南北朝(C)魏晉南北朝","TRUE"
"lesson8-第八課-陋室銘-20","lesson8","第八課 陋室銘","第八課 陋室銘","詩云：「時人莫小池中水，淺處無妨有臥龍。」此與陋室銘中的哪一句意思相通？","斯是陋室，惟吾德馨","往來無白丁","無案牘之勞形","苔痕上階綠","A","0","題幹與(A)都表達即使處於簡陋或淺小的環境，也可能因其中具有不凡價值而不平凡。「淺處無妨有臥龍」呼應「斯是陋室，惟吾德馨」，所以選(A)。","TRUE"
"lesson8-第八課-陋室銘-21","lesson8","第八課 陋室銘","第八課 陋室銘","「綠建築是指：消耗最少地球能源及資源，製造最少廢棄物，具有生態、節能，健康特性與減廢的建築物。必須是以人生活的健康、舒適為原點，對於居住環境進行全面性、系統性的環保設計。」下列關於綠建築的敘述，何者正確？","綠建築多使用植物做為建材，呈現多樣化的生態","綠建築多為了客製化，以小空間設計為主","綠建築主打耐久性，建築物能夠歷久不衰","綠建築的設計以人為原點，必須能住得舒服","D","3","(A)使用消耗最少地球能源及資源的建材來設計(B)進行全面性、系統性的設計(C)以具有生態、節能，健康特性與減廢的特性為主","TRUE"
"lesson8-第八課-陋室銘-22","lesson8","第八課 陋室銘","第八課 陋室銘","「窮苦的物質生活使我居住在狹小髒亂的違建，但是對我來說，這卻像是皇宮一樣舒適，因為我無時無刻不專注於自我的修養。」這兩句話的意思與下列何者最接近？","一枝草，一點露","君子居之，何陋之有","登高必自卑，行遠必自邇","欲窮千里目，更上一層樓","B","1","題幹強調物質環境雖然狹小髒亂，但因專注於自我修養而感到舒適，意思最接近「君子居之，何陋之有」，故選(B)。(A)強調天無絕人之路，(C)強調循序漸進，(D)強調登高望遠，都不合題意。","TRUE"
"lesson8-第八課-陋室銘-23","lesson8","第八課 陋室銘","第八課 陋室銘","「寧為小人之所罵，毋為君子之所鄙。」這句話的寓意，與下列何者最接近？","美德與羞辱是不能相容的","堅持正道，絕不從眾媚俗","凡事率性而為，毋須盡如人意","人有準繩規矩，才知平直方圓","B","1","題幹「寧為……，毋為……」表示一種價值的選擇，「寧為小人之所罵」所以絕不從眾媚俗，「毋為君子之所鄙」所以必須堅持正道。故選(B)","TRUE"
"lesson8-第八課-陋室銘-24","lesson8","第八課 陋室銘","第八課 陋室銘","下列借代詞語的運用，何者不正確？","李博士在大學執教多年，桃李滿天下，堪稱「杏壇」之光","「祝融」肆虐，不但屋倒路毀，連魚塭裡的虱目魚也全部流失","劉大姊憑百萬資金創業，不到十年，便成為直銷界的龍頭，真是「巾幗」不讓鬚眉","王大明熱心公益，敢衝敢說，常常代替勞工向資方爭取權益，是「藍領」階級的代言人","B","1","(B)「祝融」借代為火或火災，與句意不合","TRUE"
"lesson8-第八課-陋室銘-25","lesson8","第八課 陋室銘","第八課 陋室銘","(甲)陋室「銘」(乙)愛蓮「說」(丙)有恆「箴」。請問上述「 」中的文體，何者作用最相近？","甲乙","乙丙","甲丙","甲乙丙","C","2","(甲)銘：用以記述功德或警戒自勉的文字(乙)說：用來闡述某種道理或主張的文章(丙)箴：以表達規勸性質為主題","TRUE"
